run	target	task	rms	r	p	q
734560.4355	sol	vergst	3.735	0.060	0.093	0.99
734560.4355	sol	vergtr	2.673	0.247	0.000	0.98
734560.4629	sol	fix	0.233	0.000	1.000	0.99
734560.4629	sol	sacc	2.053	0.727	0.000	1.00
734560.4629	sol	spem	1.658	0.901	0.000	1.00
734560.4629	sol	vergst	3.888	0.055	0.000	1.00
734560.4629	sol	vergtr	3.891	0.015	0.450	0.99
734560.4683	sol	fix	0.295	0.000	1.000	0.98
734560.4683	sol	sacc	2.039	0.721	0.000	1.00
734560.4683	sol	spem	1.652	0.900	0.000	1.00
734560.4683	sol	vergst	0.362	0.199	0.001	0.99
734560.4683	sol	vergtr	0.378	0.098	0.152	0.99
734560.4742	sol	fix	0.161	0.000	1.000	0.99
734560.4742	sol	sacc	1.958	0.746	0.000	1.00
734560.4742	sol	spem	1.759	0.883	0.000	1.00
734560.4742	sol	vergst	3.760	0.049	0.008	0.99
734560.4742	sol	vergtr	2.798	0.200	0.204	0.98
734560.4801	sol	fix	0.205	0.000	1.000	0.98
734560.4801	sol	sacc	1.956	0.734	0.000	0.99
734560.4801	sol	spem	1.783	0.877	0.000	1.00
734560.4801	sol	vergst	0.255	0.199	0.012	0.99
734560.4801	sol	vergtr	0.313	0.068	0.017	0.99
734560.489 	sol	fix	0.188	0.000	1.000	0.99
734560.489 	sol	sacc	1.957	0.741	0.000	1.00
734560.489 	sol	spem	1.651	0.897	0.000	1.00
734560.489 	sol	vergst	0.239	0.251	0.000	0.99
734560.489 	sol	vergtr	0.279	0.097	0.120	0.99
734560.4948	sol	fix	0.160	0.000	1.000	0.99
734560.4948	sol	sacc	1.930	0.755	0.000	1.00
734560.4948	sol	spem	1.590	0.905	0.000	1.00
734560.4948	sol	vergst	3.723	0.068	0.000	0.99
734560.4948	sol	vergtr	2.849	0.157	0.003	0.98
734560.5155	CSM	fix	0.422	0.000	1.000	0.90
734560.5155	CSM	sacc	2.207	0.672	0.000	0.96
734560.5155	CSM	spem	2.322	0.870	0.000	0.96
734560.5155	CSM	vergst	4.669	0.037	0.446	0.96
734560.5155	CSM	vergtr	4.674	0.044	0.019	0.94
734560.5236	CSM	fix	0.512	0.000	1.000	0.89
734560.5236	CSM	sacc	2.189	0.703	0.000	0.99
734560.5236	CSM	spem	2.522	0.852	0.000	0.95
734560.5236	CSM	vergst	0.540	0.081	0.004	0.93
734560.5236	CSM	vergtr	0.548	0.041	0.005	0.97
734560.5308	CSM	fix	0.766	0.000	1.000	0.61
734560.5308	CSM	sacc	2.256	0.638	0.000	0.63
734560.5308	CSM	spem	2.190	0.864	0.000	0.87
734560.5308	CSM	vergst	4.505	0.063	0.010	0.81
734560.5308	CSM	vergtr	3.192	0.144	0.000	0.63
734560.5397	CSM	fix	0.582	0.000	1.000	0.73
734560.5397	CSM	sacc	2.267	0.688	0.000	0.96
734560.5397	CSM	spem	2.172	0.869	0.000	0.91
734560.5397	CSM	vergst	0.615	0.112	0.000	0.94
734560.5397	CSM	vergtr	0.654	0.165	0.000	0.87
734560.547 	CSM	fix	0.642	0.000	1.000	0.80
734560.547 	CSM	sacc	2.188	0.684	0.000	0.95
734560.547 	CSM	spem	2.318	0.843	0.000	0.86
734560.547 	CSM	vergst	4.471	0.022	0.138	0.95
734560.547 	CSM	vergtr	2.910	0.222	0.000	0.74
734560.5648	CSM	fix	0.243	0.000	1.000	0.99
734560.5648	CSM	sacc	2.045	0.692	0.000	1.00
734560.5648	CSM	spem	1.636	0.892	0.000	1.00
734560.5648	CSM	vergst	3.307	0.049	0.119	0.99
734560.5648	CSM	vergtr	3.325	0.033	0.156	0.99
734560.5726	CSM	fix	0.536	0.000	1.000	0.97
734560.5726	CSM	sacc	2.029	0.698	0.000	1.00
734560.5726	CSM	spem	1.645	0.898	0.000	1.00
734560.5726	CSM	vergst	0.568	0.142	0.000	1.00
734560.5726	CSM	vergtr	0.590	0.160	0.000	0.99
734560.5782	CSM	fix	0.311	0.000	1.000	0.99
734560.5782	CSM	sacc	2.103	0.674	0.000	0.99
734560.5782	CSM	spem	1.723	0.885	0.000	1.00
734560.5782	CSM	vergst	3.542	0.052	0.042	0.99
734560.5782	CSM	vergtr	2.377	0.179	0.000	0.98
734560.5855	CSM	fix	0.484	0.000	1.000	0.96
734560.5855	CSM	sacc	2.074	0.695	0.000	0.99
734560.5855	CSM	spem	1.805	0.874	0.000	1.00
734560.5855	CSM	vergst	0.484	0.114	0.108	0.99
734560.5855	CSM	vergtr	0.530	0.102	0.000	0.99
734560.5996	CSM	fix	0.456	0.000	1.000	0.98
734560.5996	CSM	sacc	2.072	0.680	0.000	1.00
734560.5996	CSM	spem	1.982	0.849	0.000	1.00
734560.5996	CSM	vergst	3.469	0.099	0.000	0.98
734560.5996	CSM	vergtr	2.472	0.249	0.000	0.99
734595.397 	sol	fix	0.098	0.000	1.000	1.00
734595.397 	sol	sacc	2.002	0.681	0.000	0.99
734595.397 	sol	spem	2.172	0.803	0.000	0.99
734595.397 	sol	vergst	2.743	0.074	0.000	1.00
734595.397 	sol	vergtr	2.778	0.045	0.002	1.00
734595.4043	sol	fix	0.188	0.000	1.000	1.00
734595.4043	sol	sacc	1.852	0.744	0.000	1.00
734595.4043	sol	spem	1.800	0.865	0.000	0.99
734595.4043	sol	vergst	3.198	0.073	0.018	1.00
734595.4043	sol	vergtr	3.203	0.019	0.157	1.00
734595.4112	sol	fix	0.231	0.000	1.000	1.00
734595.4112	sol	sacc	1.931	0.721	0.000	1.00
734595.4112	sol	spem	1.851	0.858	0.000	1.00
734595.4112	sol	vergst	0.261	0.301	0.000	0.99
734595.4112	sol	vergtr	0.336	0.064	0.001	1.00
734595.4188	sol	fix	0.341	0.000	1.000	0.93
734595.4188	sol	sacc	1.891	0.739	0.000	1.00
734595.4188	sol	spem	1.896	0.848	0.000	0.99
734595.4188	sol	vergst	3.224	0.078	0.017	1.00
734595.4188	sol	vergtr	2.510	0.235	0.000	1.00
734595.4267	sol	fix	0.367	0.000	1.000	0.99
734595.4267	sol	sacc	1.918	0.726	0.000	1.00
734595.4267	sol	spem	1.913	0.849	0.000	1.00
734595.4267	sol	vergst	0.434	0.188	0.000	1.00
734595.4267	sol	vergtr	0.467	0.107	0.000	1.00
734595.4333	sol	fix	0.369	0.000	1.000	1.00
734595.4333	sol	sacc	2.111	0.658	0.000	1.00
734595.4333	sol	spem	2.066	0.828	0.000	0.99
734595.4333	sol	vergst	3.415	0.039	0.023	0.98
734595.4333	sol	vergtr	2.272	0.185	0.000	0.99
734595.4423	sol	fix	0.506	0.000	1.000	1.00
734595.4423	sol	sacc	2.129	0.639	0.000	0.96
734595.4423	sol	spem	2.245	0.795	0.000	0.99
734595.4423	sol	vergst	3.315	0.056	0.000	1.00
734595.4423	sol	vergtr	2.159	0.233	0.000	1.00
734595.4773	sol	fix	0.684	0.000	1.000	0.90
734595.4773	sol	sacc	1.879	0.756	0.000	0.97
734595.4773	sol	spem	1.598	0.896	0.000	0.97
734595.4773	sol	vergst	3.465	0.053	0.248	0.97
734595.4773	sol	vergtr	3.471	0.014	0.229	0.92
734595.4848	sol	fix	1.038	0.000	1.000	0.76
734595.4848	sol	sacc	2.136	0.686	0.000	0.91
734595.4848	sol	spem	1.852	0.814	0.000	0.85
734595.4848	sol	vergst	1.078	0.030	0.260	0.88
734595.4848	sol	vergtr	1.062	0.092	0.101	0.91
734595.4924	sol	fix	0.705	0.000	1.000	0.93
734595.4924	sol	sacc	2.595	0.464	0.000	0.94
734595.4924	sol	spem	3.265	0.442	0.000	0.72
734595.4924	sol	vergst	2.503	0.034	0.142	0.95
734595.4924	sol	vergtr	2.277	0.212	0.000	0.96
734595.5009	sol	fix	0.421	0.000	1.000	0.91
734595.5009	sol	sacc	1.965	0.728	0.000	0.99
734595.5009	sol	spem	1.671	0.881	0.000	0.97
734595.5009	sol	vergst	0.468	0.066	0.001	0.97
734595.5009	sol	vergtr	0.495	0.058	0.169	0.97
